year	all_hits	query_hits
1900	3128	0
1901	3195	0
1902	3285	0
1903	3427	0
1904	3617	0
1905	3660	0
1906	3557	0
1907	3863	0
1908	4233	0
1909	4563	0
1910	4638	0
1911	4814	0
1912	4717	0
1913	5008	0
1914	5029	0
1915	4488	0
1916	4307	0
1917	4010	0
1918	4066	0
1919	4387	0
1920	5034	0
1921	4632	0
1922	4133	0
1923	4476	0
1924	4936	0
1925	5052	0
1926	5382	0
1927	5934	0
1928	5521	0
1929	5770	0
1930	5669	0
1931	5538	0
1932	5614	0
1933	5672	0
1934	5556	0
1935	5703	0
1936	5411	0
1937	5349	0
1938	5807	0
1939	5587	0
1940	4981	0
1941	4848	0
1942	4772	0
1943	4561	0
1944	4791	0
1945	20513	0
1946	53929	0
1947	65050	0
1948	70757	0
1949	62827	0
1950	85792	0
1951	103821	0
1952	108182	0
1953	108924	0
1954	105942	0
1955	108562	0
1956	107015	0
1957	111528	0
1958	109467	0
1959	110000	0
1960	112222	0
1961	120180	0
1962	125694	0
1963	141540	0
1964	162110	0
1965	176737	0
1966	180184	0
1967	192052	0
1968	208157	0
1969	215347	0
1970	219424	0
1971	223608	0
1972	227810	0
1973	231127	0
1974	235108	0
1975	249189	0
1976	254955	0
1977	262169	0
1978	272526	0
1979	282074	0
1980	280626	0
1981	283584	0
1982	295738	0
1983	309496	0
1984	318213	0
1985	335277	0
1986	349630	0
1987	367897	0
1988	386993	0
1989	402660	0
1990	410540	0
1991	413078	0
1992	417840	0
1993	426566	0
1994	438078	0
1995	448921	0
1996	458439	0
1997	456592	0
1998	474523	0
1999	493568	0
2000	531940	17
2001	545527	5
2002	561251	3
2003	588342	7
2004	627949	5
2005	682175	3
2006	704678	10
2007	724102	7
2008	761844	20
2009	793051	13
2010	850965	20
2011	904613	34
2012	945788	30
2013	1003850	63
2014	1055287	84
2015	1095612	133
2016	1114973	164
2017	1135824	242
2018	1171517	342
2019	1230859	455
2020	1313009	405
