journal_title	no_of_articles
Nat Commun	183
PLoS One	104
Sensors (Basel)	98
Nucleic Acids Res	84
Sci Rep	62
Genome Biol	56
Elife	52
Nature	47
BMC Bioinformatics	40
Cell	39
Nat Genet	37
Cell Rep	34
Genome Res	31
Proc Natl Acad Sci U S A	27
PLoS Genet	26
BMC Genomics	22
Mol Cell	19
Bioinformatics	18
J Med Internet Res	18
PLoS Comput Biol	16
BMJ	14
Cancer Cell	14
Ecol Evol	13
Epigenetics Chromatin	13
Cell Stem Cell	11
Nat Methods	11
Sci Adv	11
Arch Dis Child Fetal Neonatal Ed	10
Cancer Discov	10
Front Genet	10
Int J Environ Res Public Health	10
J Am Med Inform Assoc	10
Nat Biotechnol	10
Nat Immunol	10
BMJ Open	9
F1000Res	9
Genes Dev	9
Genome Med	9
J Cheminform	9
J Clin Invest	9
Oncotarget	9
ScientificWorldJournal	9
Database (Oxford)	8
Epigenetics	8
Front Psychol	8
Hum Mol Genet	8
Immunity	8
Int J Mol Sci	8
BMC Med	7
Cell Syst	7
CMAJ	7
Commun Biol	7
EMBO J	7
J Korean Med Sci	7
Nat Neurosci	7
PeerJ	7
PLoS Pathog	7
AMIA Annu Symp Proc	6
BMC Med Genomics	6
BMC Public Health	6
Entropy (Basel)	6
Front Immunol	6
Front Microbiol	6
G3 (Bethesda)	6
J Exp Med	6
JCI Insight	6
Med Hist	6
Nat Med	6
PLoS Biol	6
Science	6
Biochem Med (Zagreb)	5
Clin Cancer Res	5
Clin Epigenetics	5
EMBO Rep	5
Evol Appl	5
Genes (Basel)	5
J R Soc Med	5
Life Sci Alliance	5
Mol Metab	5
Mol Oncol	5
Sci Eng Ethics	5
Ambio	4
BMC Cancer	4
BMC Health Serv Res	4
BMC Med Inform Decis Mak	4
Data Brief	4
Eur J Hum Genet	4
Genetics	4
Genome Biol Evol	4
Global Health	4
J Adv Res	4
J Med Libr Assoc	4
JMIR Mhealth Uhealth	4
Leukemia	4
Med J Armed Forces India	4
Mol Biol Evol	4
Mol Cell Proteomics	4
Mol Syst Biol	4
Molecules	4
Online J Public Health Inform	4
